"","text","created","id","screenName"
"131","Lessons from a fifth-grade loan shark http://t.co/KEEWZf32Dk",2015-09-23 17:02:10,"646731291669458944","nytimes"
"132","Amazon has announced new pilots from Louis C.K., Tig Notaro and Sacha Baron Cohen http://t.co/DfxnCXe6Ok",2015-09-23 16:35:59,"646724704053645312","nytimes"
"133","It turns out sitting is bad for children, too http://t.co/CfYIqvlx0n",2015-09-23 16:26:29,"646722312549605376","nytimes"
"134","Kevin Hart is going to be Trevor Noah's first guest on ""The Daily Show,"" with Chris Christie not far behind http://t.co/Bw5zP57gpP",2015-09-23 15:55:37,"646714543561904128","nytimes"
"135","The great divide in workplace parental benefits http://t.co/n76XHAVQ8T http://t.co/YCNSHj3tZN",2015-09-23 15:44:55,"646711851422756864","nytimes"
"136","Volkswagen's chief has resigned, taking responsibility for the auto-maker's emissions cheating scandal http://t.co/DOjcDXCDbt",2015-09-23 15:27:01,"646707349185499136","nytimes"
"137","Breaking News: Volkswagen chief Martin Winterkorn resigns amid emissions scandal
http://t.co/OrfNMaeUpQ",2015-09-23 15:15:57,"646704564306071552","nytimes"
"138","A guide to Chinese President Xi Jinping's American culture shout-outs in Seattle http://t.co/7NIXjYWU2u",2015-09-23 15:13:06,"646703845809238016","nytimes"
"139","F.B.I. investigators have found emails that Hillary Clinton said were erased http://t.co/4T5crS9qaS",2015-09-23 14:50:03,"646698044424105985","nytimes"
"140","Did Yogi Berra really say all those things he said? http://t.co/BxbJ0LoeL2 http://t.co/eixEQqYkKQ",2015-09-23 14:38:02,"646695018732879872","nytimes"
"141","Volkswagen's test rigging follows a long auto industry pattern http://t.co/n6B98a2klc",2015-09-23 14:26:04,"646692007591718912","nytimes"
"142","Xi Jinping ledges to work with U.S. to stop cybercrimes http://t.co/F5C5ybmGCS",2015-09-23 14:13:37,"646688875134492672","nytimes"
"143","Morning Briefing: Here's what you need to know to start your day. http://t.co/Jj8viaBNsW http://t.co/G6Zpy0a2OZ",2015-09-23 14:00:14,"646685509608194048","nytimes"
"144","The plot twist: e-book sales slip and print is far from dead http://t.co/SzYjoc9N70",2015-09-23 13:48:41,"646682602036961280","nytimes"
"145","Live now: Pope Francis meets with President Obama at the White House http://t.co/od2yEN02gw",2015-09-23 13:33:02,"646678661899362304","nytimes"
"146","Watch live: Pope Francis meets with President Obama http://t.co/PC8bCJ7akM",2015-09-23 13:22:13,"646675941683499008","nytimes"
"147","5 easy meals for the distracted cook http://t.co/MqfcFbkkBO http://t.co/xasPbEa2Wc",2015-09-23 13:18:44,"646675062280617984","nytimes"
